functional_group_id,functional_group,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,C_extracted_1960_64,C_extracted_SD_1960_64,C_extracted_lowCI_1960_64,C_extracted_lowIQR_1960_64,C_extracted_median_1960_64,C_extracted_highIQR_1960_64,C_extracted_highCI_1960_64,C_extracted_1993_97,C_extracted_SD_1993_97,C_extracted_lowCI_1993_97,C_extracted_lowIQR_1993_97,C_extracted_median_1993_97,C_extracted_highIQR_1993_97,C_extracted_highCI_1993_97,C_extracted_2014_18,C_extracted_SD_2014_18,C_extracted_lowCI_2014_18,C_extracted_lowIQR_2014_18,C_extracted_median_2014_18,C_extracted_highIQR_2014_18,C_extracted_highCI_2014_18,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,N_extracted_1960_64,N_extracted_SD_1960_64,N_extracted_lowCI_1960_64,N_extracted_lowIQR_1960_64,N_extracted_median_1960_64,N_extracted_highIQR_1960_64,N_extracted_highCI_1960_64,N_extracted_1993_97,N_extracted_SD_1993_97,N_extracted_lowCI_1993_97,N_extracted_lowIQR_1993_97,N_extracted_median_1993_97,N_extracted_highIQR_1993_97,N_extracted_highCI_1993_97,N_extracted_2014_18,N_extracted_SD_2014_18,N_extracted_lowCI_2014_18,N_extracted_lowIQR_2014_18,N_extracted_median_2014_18,N_extracted_highIQR_2014_18,N_extracted_highCI_2014_18,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,P_extracted_1960_64,P_extracted_SD_1960_64,P_extracted_lowCI_1960_64,P_extracted_lowIQR_1960_64,P_extracted_median_1960_64,P_extracted_highIQR_1960_64,P_extracted_highCI_1960_64,P_extracted_1993_97,P_extracted_SD_1993_97,P_extracted_lowCI_1993_97,P_extracted_lowIQR_1993_97,P_extracted_median_1993_97,P_extracted_highIQR_1993_97,P_extracted_highCI_1993_97,P_extracted_2014_18,P_extracted_SD_2014_18,P_extracted_lowCI_2014_18,P_extracted_lowIQR_2014_18,P_extracted_median_2014_18,P_extracted_highIQR_2014_18,P_extracted_highCI_2014_18
1,Small pelagics (<30 cm),89981381.46,1039778.215,88002848.97,89310156.08,89946622.5,90685338.25,92011905.71,4741446.7,350665.1622,4165953.139,4463698.97,4723198.574,5011836.857,5410769.167,10244905.91,422050.2827,9419224.844,9969572.392,10273473.99,10531465.83,10947147.72,6743369.767,207359.3632,6365720.201,6576249.398,6753304.66,6897653.048,7092267.725,24986376.43,185272.2955,24675073.98,24876530.54,24985613.3,25086548.23,25350899.53,1397602.402,65245.82115,1270711.157,1348739.309,1400641.617,1433923.867,1507890.831,2877567.583,70719.24029,2739528.496,2835856.933,2876610.697,2927881.349,3020249.706,1822045.727,40429.01719,1744542.069,1792162.099,1821898.685,1849772.588,1899799.279,5591813.725,151438.1634,5309446.48,5480795.689,5577782.105,5683353.907,5883691.495,315364.4724,50897.32821,232296.1194,279396.9337,308396.8872,348126.8326,418622.0357,644961.9644,67649.09337,532985.5315,601514.4431,638323.5552,685492.0804,792536.6789,421424.1696,30172.4763,371673.9834,398426.4002,421608.7436,440014.5241,492596.1123
2,Medium pelagics (30 - 89 cm),109453520.4,183653.6538,109124301.6,109326527.6,109478927,109577638,109769710.4,4667686.86,25131.82598,4620797.622,4649024.261,4666712.971,4683594.781,4715512.723,11635498.74,49471.66385,11531752.81,11605974.08,11628000.57,11671594.25,11739805.53,7458138.433,32487.44378,7404635.723,7435541.437,7455191.095,7478105.802,7522151.089,25248903.41,23232.30652,25208912.87,25231255.98,25250510.64,25264274.2,25285560.25,995568.5441,6364.79115,983480.3473,990745.5885,995823.2082,999696.4754,1008311.009,2674832.41,5963.450353,2665212.758,2670669.948,2675131.773,2678693.763,2686455.122,1711238.596,5644.798941,1699854.709,1707338.389,1711475.224,1714952.664,1722360.195,5227155.522,15797.77176,5196054.835,5216856.41,5226666.249,5237612.126,5255673.88,220238.3776,3514.233777,213245.8224,218273.0301,220642.8698,222326.9526,226277.2072,573458.8982,6934.39013,562856.8375,568823.5922,572700.9363,578695.633,586765.2185,346633.7257,3691.287119,340424.532,343672.7008,346627.318,349529.4984,353160.9995
3,Large pelagics (>=90 cm),29813790.27,17717.27149,29776515.46,29804237.27,29813180.26,29824316.92,29845638.4,742137.6268,1875.179107,738942.3021,740970.8288,742021.9361,743713.1049,745432.1426,3065376.376,5483.675706,3054152.548,3061820.252,3065217.528,3069527.732,3076164.616,4261713.292,6776.362883,4248863.939,4256703.263,4261568.158,4266779.223,4274314.291,7521829.178,1223.180272,7519646.157,7520912.574,7521880.118,7522597.534,7524165.106,182001.3589,149.10934,181730.0027,181913.014,181993.5082,182111.6325,182270.4319,778420.2723,396.890412,777732.7033,778151.8695,778431.8108,778648.9297,779188.9579,1072151.771,763.1509919,1070759.309,1071631.089,1072158.921,1072660.576,1073565.52,1085204.459,1840.605296,1081992.653,1084058.753,1085163.719,1086247.656,1088561.436,27246.60316,234.3305605,26806.21159,27057.77364,27273.93471,27423.16648,27647.25692,112197.6551,643.381307,110915.1966,111831.7813,112248.9912,112617.0111,113346.1137,155129.5868,716.6144581,153633.6839,154732.5527,155132.4721,155610.1826,156308.2739
4,Large bathydemersals (>=90 cm),8414903.612,20360.17111,8372495.001,8402787.915,8411910.421,8427696.048,8452445.975,72300.94198,1380.892427,69927.63393,71329.53256,72187.82565,73366.92205,74958.47565,1143946.182,8935.28658,1128324.473,1138228.774,1144281.702,1149897.748,1162047.117,840259.2382,6284.610395,827507.9579,835720.292,840497.2761,845335.4921,850484.2916,2459965.595,2396.523962,2454706.868,2458526.634,2460134.05,2461720.579,2463986.463,19633.19063,56.82147337,19529.31898,19592.55643,19629.71599,19668.99015,19747.1545,339882.3998,1034.608351,338263.1874,339128.6839,339831.7224,340637.2622,341908.1954,244276.0522,746.1124348,242689.2881,243794.7642,244249.6211,244795.9685,245686.6637,659979.9564,2043.941676,655376.6908,658628.9192,659955.4946,661355.6156,663702.6875,4666.973038,111.7832268,4474.344905,4589.158561,4651.317248,4746.632655,4889.959332,93056.57715,362.9276349,92392.80672,92797.0319,93072.6749,93336.67165,93672.09276,64624.70538,270.0013345,64135.93262,64408.95748,64646.74235,64805.21324,65091.94667
5,Medium demersals (30 - 89 cm),63926031.35,167381.4019,63645943.07,63788342.64,63927451.74,64043149.86,64235386.38,2679786.867,35189.69377,2615036.36,2654593.037,2680616.344,2702736.079,2750696.997,5858963.962,42228.39256,5786921.117,5826198.976,5865282.417,5889401.711,5929981.163,6961822.523,66483.44766,6837517.275,6925537.57,6955387.72,6999417.45,7100291.517,16116391.69,26662.20123,16063306.94,16097856.59,16117255.01,16133686.46,16171956.94,665899.5952,7345.572608,651864.6836,660258.797,666405.3884,671240.3416,679532.1673,1487168.265,8987.009156,1470270.113,1481479.447,1486848.48,1493299.055,1502641.082,1762484.503,11070.16521,1742592.189,1753570.112,1762482.263,1770972.397,1782323.393,3951902.044,17146.11269,3921808.734,3939991.462,3949328.947,3964284.175,3981914.504,158173.4662,5296.080316,149675.3233,154083.8105,157400.6196,161668.0355,169249.1878,365114.9005,5041.030662,356483.7676,361050.8896,365210.444,368464.3295,374406.4806,434069.3611,6677.279117,422545.0158,429229.7505,434703.0099,438639.4399,448446.3384
6,Large demersals (>=90 cm),7655649.991,15100.86301,7629360.255,7644576.464,7654736.21,7665163.497,7685044.893,410528.7449,1816.687524,407201.6136,409132.3775,410429.3796,411788.8299,413921.2396,691899.1451,5099.615366,682209.7943,688276.4174,691739.1431,695657.0005,702522.3857,672475.4848,5266.885748,663296.6668,668833.758,671961.8737,675831.1407,683363.1392,2126895.402,3239.502437,2120978.658,2124884.812,2126894.877,2129025.236,2132563.759,115013.1905,253.6788616,114595.1015,114804.5977,114994.3653,115205.6643,115469.1233,192320.9953,1088.765754,190091.5595,191428.096,192390.2068,192917.1887,194442.3514,186290.3708,942.5242601,184369.7888,185690.1673,186247.3762,186821.4057,188309.671,461273.2496,1886.437658,457766.6389,459676.7723,461446.8577,462467.7157,464650.1504,24295.85582,301.9110792,23740.39365,24118.82872,24295.17102,24486.68875,24883.33575,42280.9659,642.8948547,40985.33041,41975.85216,42256.92087,42647.45295,43401.30638,41980.05528,623.5494171,40776.43708,41526.85263,41940.88088,42482.40695,43033.02143
7,Small demersals (<30 cm),56835.98523,1850.03808,53191.50002,55657.63244,57019.57229,58070.14904,60407.55932,2340.700953,367.9141374,1684.961439,2084.528107,2336.891963,2600.905518,3019.61504,2192.424323,345.8644137,1598.216042,1958.996565,2158.365625,2432.947534,2864.564455,1103.974279,176.6130148,794.2231009,977.3860215,1104.759754,1220.937178,1484.539345,11550.07745,318.254492,10866.89414,11353.20859,11539.05475,11743.21933,12202.65933,540.5522972,72.94930793,419.4669952,486.2479422,538.195488,591.4452479,687.3912093,521.3990649,63.30103687,411.6683258,484.2067637,511.4493242,566.4336675,646.8555796,260.6322266,31.60801276,206.2886473,238.6778188,258.3681112,281.4680999,321.4731479,3400.442532,297.5829169,2932.134036,3195.161527,3355.967118,3546.894413,3889.41045,169.4677935,46.25582776,91.41036677,137.2257967,162.4236659,193.69096,284.9438103,163.0064114,41.61323146,86.00785044,136.7737388,160.5827518,188.2846024,251.0510569,74.18222532,20.69778741,42.58277178,60.51260075,69.68327989,85.85693719,124.0692005
8,Small reef assoc. fish (<30 cm),604289.703,5395.801493,594552.9013,600624.7845,604140.8688,608649.5076,612999.7135,5128.225494,430.4390625,4249.459469,4864.599972,5137.539089,5367.022,5940.149871,93797.81741,2569.194145,89329.79831,92387.26339,93876.5654,95735.84204,98586.62542,39226.26589,1085.682191,37191.3879,38601.59078,39252.31922,39782.23277,41483.65055,150716.8132,428.8224954,149843.3582,150484.6804,150739.7405,151000.7546,151402.462,1271.428651,21.75618292,1230.745341,1257.078962,1271.85317,1288.796088,1311.729693,23438.32962,164.292356,23124.59463,23308.49258,23440.3729,23557.21599,23742.68765,9688.403617,68.1877458,9564.406636,9647.103032,9688.236331,9733.084208,9834.242761,38912.7531,631.3569343,37915.93603,38423.97746,38920.66069,39286.6338,40137.77397,323.4803543,36.37479933,263.7776951,298.702513,318.5377691,348.4356857,400.1366785,6029.758426,234.5196984,5637.319643,5849.528617,6005.311105,6154.494437,6498.939844,2519.145266,110.5620265,2303.685981,2445.540886,2517.535022,2605.34004,2706.364283
9,Small to medium sharks (<90 cm),69013.53569,1164.863154,66974.10243,68219.55602,68868.25929,69898.10149,71377.44452,87.20899872,12.7424339,66.80354947,76.3253782,86.88315586,97.23937225,110.3817432,2632.180909,64.47518991,2513.599703,2594.913163,2633.264517,2672.319861,2763.504816,2438.692358,125.9933963,2195.774648,2362.442902,2427.663085,2502.400654,2698.483197,16855.94796,276.4825974,16312.03796,16650.83715,16862.61734,17029.42175,17361.79805,21.14810099,2.782211145,16.50588947,19.32241164,21.29078529,22.66842604,27.05631774,643.2364914,17.09169355,612.2415687,630.1130839,643.5341557,654.5232096,676.5338469,604.1917523,32.15703434,547.396188,583.7125594,603.1726273,624.8516265,667.6042116,4782.637952,225.4614381,4337.006337,4650.62589,4779.91649,4925.31878,5196.232274,6.156525265,2.233955229,2.768454513,4.435179686,6.034337852,7.587327501,11.34042935,181.357758,13.97520318,156.7839097,170.7862212,183.9793632,191.4538961,207.5696184,162.7034399,27.17423859,120.8049113,144.2327952,161.7346098,178.9545947,227.1474209
10,Small benthopelagics (<30 cm),149870.272,1569.532241,146902.187,148977.4994,149792.6516,150771.0711,153005.5369,10992.36186,557.8382571,9899.346151,10614.56524,11014.90384,11340.19185,12012.37964,4964.592533,223.9746311,4518.981908,4818.292082,4984.743877,5130.880705,5356.92083,12600.53311,368.5631821,11941.49916,12323.41666,12592.68628,12866.26715,13242.00436,38023.12688,322.9274989,37440.53081,37800.4789,38039.34316,38224.82818,38666.23607,2835.362382,105.7550776,2629.114753,2749.591355,2840.288317,2896.117071,3055.776206,1288.851417,36.60335201,1229.819308,1262.704957,1286.998297,1310.013713,1361.71067,3100.834377,61.68521184,2969.935349,3066.833103,3090.583983,3137.141255,3226.395748,9775.310019,253.3284629,9322.671754,9617.837677,9763.682986,9957.778853,10306.26532,725.3281023,84.97630217,569.6458817,668.9392885,714.8177932,780.6418911,891.4680859,331.8680157,28.4769964,279.4434839,310.5117664,333.8634376,350.9955879,388.9379908,792.6853711,47.71842111,699.8151768,758.4700228,794.7783701,825.2833616,880.1196865
11,Small to medium rays (<90 cm),3265157.351,16104.99011,3235024.403,3255001.093,3264242.842,3273965.121,3296290.741,100119.8613,2227.437607,95721.69203,98431.75132,100031.9688,101904.3756,103798.2933,281795.2342,4821.052668,272428.1741,278489.9038,282544.1577,284984.1395,290696.7117,226810.1442,3672.3652,220615.9579,223781.5545,227163.7739,229649.4758,232938.845,873761.8721,3023.122336,867908.5947,871950.3227,873653.0179,875673.8594,879405.0252,26583.17733,461.8062763,25740.64237,26344.43332,26646.94393,26853.37813,27356.14044,75178.56443,866.2333167,73568.2414,74606.72686,75215.31974,75724.95601,76878.4912,60367.64133,687.4233097,58904.36396,59949.74586,60394.23498,60827.54662,61519.4596,219447.6059,3337.405996,212968.8067,217110.1955,219881.7811,221703.5298,225162.5289,6774.033816,390.8666327,6081.341808,6511.739176,6756.836292,6989.764857,7583.229991,18800.95704,956.535182,17255.44039,18091.52931,18727.65723,19411.86418,20840.29438,15136.97925,715.0478735,13669.75211,14672.3556,15112.74392,15624.45688,16340.42928
12,Medium bathypelagics (30 - 89 cm),723207.2647,5142.274395,713656.3431,720287.2223,723290.0452,726523.338,732897.6413,20252.00039,945.6106182,18746.20755,19480.34405,20299.74556,20880.92858,22369.6558,110747.0897,2251.15705,106673.6508,109193.0717,110613.9132,112543.9738,115507.1494,44162.43738,771.1943311,42843.0391,43600.38727,44186.55085,44605.38276,45626.60062,166032.7459,296.2224257,165473.1275,165802.4634,166057.4892,166218.912,166615.9412,4655.345607,15.55938543,4625.70574,4645.498956,4656.431323,4665.57879,4681.795272,25238.89593,178.8715208,24823.15465,25111.83851,25253.3111,25359.59995,25552.05919,10264.1218,34.00749932,10209.91223,10238.4961,10262.92812,10286.79368,10334.84962,49846.67546,1162.658005,47439.00088,49098.24736,49835.28444,50455.70015,52617.11602,1390.278054,201.2663449,1076.89924,1248.460822,1367.723777,1487.598181,1899.187054,7625.726815,455.8593299,6863.366191,7347.755417,7587.28422,7902.362193,8499.93733,3071.019057,147.8586006,2777.807171,2985.210585,3070.413696,3156.842083,3362.037933
13,Large bathypelagics (>=90 cm),3430882.814,23653.8913,3381185.946,3414254.351,3431947.219,3447406.182,3471038.712,24209.66249,834.5001201,22814.37293,23597.98797,24121.80682,24720.08104,25886.11281,524803.4601,12965.48654,495714.4925,517585.8632,524519.5328,533939.4836,550947.7111,325598.468,7522.186093,313467.1765,319906.9324,325574.4311,330155.4282,341895.4848,1137339.064,1569.623271,1134476.798,1136310.792,1137457.178,1138237.902,1141366.855,6451.214279,63.94481677,6330.416476,6406.860428,6448.421113,6484.441151,6587.815768,174121.9009,827.132855,172637.6064,173680.9161,174053.3618,174625.6864,176138.2164,111395.6345,466.5878607,110500.9926,111119.7951,111380.0966,111630.4053,112302.6344,442884.0617,7241.055191,427926.6939,438844.3339,442523.1119,447023.1464,457774.4948,2042.060751,174.8957478,1702.174936,1951.547051,2027.337873,2126.214393,2444.838444,67470.62764,2851.033375,62004.0068,65526.32164,67564.83413,69248.46241,72988.65813,45238.82429,1840.804615,41425.57363,44081.99743,45126.16538,46417.60278,48955.09688
