simp_functional_group,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,C_extracted_1960_64,C_extracted_SD_1960_64,C_extracted_lowCI_1960_64,C_extracted_lowIQR_1960_64,C_extracted_median_1960_64,C_extracted_highIQR_1960_64,C_extracted_highCI_1960_64,C_extracted_1993_97,C_extracted_SD_1993_97,C_extracted_lowCI_1993_97,C_extracted_lowIQR_1993_97,C_extracted_median_1993_97,C_extracted_highIQR_1993_97,C_extracted_highCI_1993_97,C_extracted_2014_18,C_extracted_SD_2014_18,C_extracted_lowCI_2014_18,C_extracted_lowIQR_2014_18,C_extracted_median_2014_18,C_extracted_highIQR_2014_18,C_extracted_highCI_2014_18,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,N_extracted_1960_64,N_extracted_SD_1960_64,N_extracted_lowCI_1960_64,N_extracted_lowIQR_1960_64,N_extracted_median_1960_64,N_extracted_highIQR_1960_64,N_extracted_highCI_1960_64,N_extracted_1993_97,N_extracted_SD_1993_97,N_extracted_lowCI_1993_97,N_extracted_lowIQR_1993_97,N_extracted_median_1993_97,N_extracted_highIQR_1993_97,N_extracted_highCI_1993_97,N_extracted_2014_18,N_extracted_SD_2014_18,N_extracted_lowCI_2014_18,N_extracted_lowIQR_2014_18,N_extracted_median_2014_18,N_extracted_highIQR_2014_18,N_extracted_highCI_2014_18,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,P_extracted_1960_64,P_extracted_SD_1960_64,P_extracted_lowCI_1960_64,P_extracted_lowIQR_1960_64,P_extracted_median_1960_64,P_extracted_highIQR_1960_64,P_extracted_highCI_1960_64,P_extracted_1993_97,P_extracted_SD_1993_97,P_extracted_lowCI_1993_97,P_extracted_lowIQR_1993_97,P_extracted_median_1993_97,P_extracted_highIQR_1993_97,P_extracted_highCI_1993_97,P_extracted_2014_18,P_extracted_SD_2014_18,P_extracted_lowCI_2014_18,P_extracted_lowIQR_2014_18,P_extracted_median_2014_18,P_extracted_highIQR_2014_18,P_extracted_highCI_2014_18
Pelagic,229248692.1,1057811.891,227109935,228576736.2,229315315.5,229931148,231242124.6,10151271.19,349567.5211,9609182.512,9879144.201,10133546.88,10401636.27,10822738.65,24945781.02,430479.4327,24110832.71,24696043.9,24973508.99,25249238.43,25610066.11,18463221.49,210392.9942,18082916.83,18308247.26,18462955.28,18627216.19,18834623.24,57757109.02,186337.3784,57454929.89,57630398.62,57763329.43,57865152.8,58142661.13,2575172.305,65388.71113,2448748.219,2530022.005,2582657.749,2609347.261,2684265.344,6330820.265,71414.87487,6192725.911,6286644.514,6329122.241,6377706.366,6475913.894,4605436.093,40929.81426,4526789.125,4575446.726,4608047.804,4635270.682,4689510.417,11904173.71,153114.5904,11631461.02,11793764.72,11891763.81,12010020.03,12208962.09,562849.4532,50683.37778,480747.7786,527303.1732,556576.6689,598591.7694,666913.5466,1330618.518,68471.64716,1210499.583,1290113.089,1325452.051,1369223.809,1481830.375,923187.4821,30561.33555,873949.1517,901579.983,921300.5905,943131.3577,995855.0531
Demersal,79996584.95,166190.4242,79700203.4,79869763.48,79993804.49,80117657.78,80306233.57,3162616.554,35158.06892,3095314.627,3139786.459,3163081.567,3186277.853,3231949.001,7694809.289,43589.66237,7614305.639,7660691.969,7698747.027,7727534.995,7768664.998,8474557.246,66566.64819,8340868.98,8438768.945,8467330.309,8510137.584,8607590.78,20703252.69,26318.98339,20652121.85,20685315.97,20702584.78,20720142.54,20757874.25,800545.9763,7370.201961,786369.6061,794943.519,801187.0905,805823.9204,814265.3805,2019371.66,9190.517316,2003225.015,2013648.519,2018930.959,2024602.568,2036194.289,2193050.926,11205.55139,2171563.49,2184368.357,2192549.993,2201763.63,2213177.681,5073155.25,17978.57489,5041664.325,5062036.2,5071065.873,5086360.448,5102488.607,187136.2951,5284.999775,178703.0791,182945.3677,186587.0402,190476.4389,197936.2136,500452.4435,5148.024319,491374.4618,496434.6459,500719.0563,504056.3125,508958.1692,540674.1218,6778.241082,529122.5344,535551.1199,541188.349,545059.0388,555514.4464
Benthopelagic,59898743.34,155533.477,59632775.69,59800492.9,59903278.36,59993655.57,60191119.93,2323891.51,21916.18099,2281740.097,2308774.354,2325011.39,2339170.738,2362148.98,6174252.409,48910.29935,6071577.398,6144452.97,6180145.106,6205347.638,6261497.651,5289654.923,50008.18262,5211994.203,5256416.453,5285915.105,5320036.813,5401113.968,16692830.96,27214.08547,16636760.02,16676850.63,16693896.51,16710221.36,16744970.21,583372.7034,1886.631108,579244.5483,581960.0624,583359.6995,584705.6687,586461.8933,1747350.154,8571.18605,1732060.72,1741434.594,1747846.114,1753004.623,1763544.972,1501985.088,7195.043924,1487905.366,1497192.684,1501427.319,1506666.743,1515211.347,3320885.481,15514.51612,3289402.492,3312750.568,3319466.273,3328000.083,3357051.684,105011.9759,1213.379926,102914.2565,104121.8223,105006.5553,105803.1803,107245.1604,353934.9875,5115.091249,342289.4256,351245.6757,354550.1319,357072.4884,363193.87,310372.7241,4271.758001,301990.1209,307111.9107,310397.6321,313141.276,318943.8547
Cephalopods,11506610.06,32836.89151,11443793.3,11483287.01,11512823.29,11522246.42,11568248.85,276292.2348,4302.665213,267796.9025,273773.9189,276367.557,278268.2954,285022.688,1435892.957,13286.19295,1412734.973,1426730.02,1436018.762,1444239.929,1462310.932,1448771.796,13071.93928,1424638.325,1440547.067,1449306.27,1456456.741,1473481.262,3032271.634,9789.474565,3016150.032,3024600.45,3032321.303,3039984.712,3049135.078,73402.91088,1220.339591,71007.50539,72509.7707,73594.44952,74164.90363,75722.34428,376363.5462,3923.557062,368531.0883,373691.3366,375956.0385,379286.6235,383773.1431,377641.4386,3590.264258,370425.3882,375446.5869,377770.9661,380091.044,384018.2223,314827.6155,1970.031696,311541.0254,313284.3659,314764.9494,316005.8407,318522.3859,7365.671865,199.4246829,6964.363873,7252.954546,7365.510063,7487.214625,7786.4587,39848.81733,767.9990977,38294.51727,39305.25351,39863.24093,40369.47003,41246.97374,39721.64428,736.8389294,38100.13582,39287.48483,39626.73277,40241.93941,40829.70006
Shrimps,10840114.98,82485.75799,10697589.12,10785174.54,10833864.17,10892128.13,11033652.82,209445.2606,3550.557852,202451.6768,207352.8381,209126.3376,211965.8646,215900.0357,1248788.752,29267.21416,1194273.746,1230647.231,1247217.667,1266184.506,1309844.407,1623864.429,42193.69947,1549383.904,1592890.506,1623611.048,1647209.957,1717538.319,2811176.722,8184.94287,2796226.46,2805817.664,2810442.839,2816250.118,2828153.439,56902.76914,633.2446041,55861.27028,56396.41076,56843.32421,57325.39949,58256.26674,320057.3802,4375.168564,312189.4323,317118.7089,319819.861,323258.6683,328513.61,402452.9143,3442.830866,395154.9089,400289.7831,402663.8182,404951.6791,408241.2948,384521.269,2726.564682,379707.5898,382577.3035,384548.263,386654.2668,389513.4498,7497.761789,172.8930924,7194.239284,7356.20813,7505.390935,7620.783437,7799.337087,41763.05854,1208.061212,39714.49906,40916.65664,41686.723,42525.97895,44052.97495,65082.27014,1046.605792,63494.6343,64259.6507,65055.08784,65919.54685,67107.40049
Misc. Dem. Inverts,9531123.745,42438.07357,9457876.394,9505428.808,9532017.829,9564119.738,9603749.561,410737.3743,8374.778963,395820.1253,404437.8808,410678.0577,416703.7826,428010.3998,1065323.894,15685.20312,1034102.115,1053631.595,1066918.811,1076578.841,1088719.058,792914.1862,11914.72563,773336.6258,783005.5271,792519.7741,801108.5257,817517.0508,1821400.143,11122.69679,1798665.581,1814071.76,1822549.18,1829772.384,1840714.035,70707.84403,1591.078285,67888.78082,69724.80846,70528.17069,72053.33315,73612.97152,214377.9793,4617.035591,206062.1241,211399.1215,214121.0064,217105.3148,222568.0832,154786.0851,2812.057904,149639.0732,152722.9655,154752.3659,157068.965,159832.4195,203673.6287,2001.780015,200393.6177,202401.0703,203524.103,204965.8773,207840.4715,7875.135766,302.3041703,7289.217634,7676.951295,7887.571022,8042.547486,8405.608611,23906.55819,952.2127908,22107.1711,23294.67919,23881.02791,24509.48299,25589.84092,17744.55169,620.1888173,16672.14208,17295.76698,17684.68924,18204.64263,18845.41403
Reef Fish,9016760.169,23383.84873,8968016.198,9004276.452,9017277.637,9030916.339,9054408.72,310640.443,5088.204734,301896.1668,307089.7798,309981.8115,314067.5947,321937.7803,981441.3629,9685.863493,963014.9866,975749.565,981409.5629,987067.723,1001384.805,930710.0223,6551.055916,916233.5748,926586.325,930934.1502,935031.4632,941397.5809,2385088.254,4196.023115,2378044.983,2382275.643,2384717.114,2387792.275,2393085.377,78500.01633,336.5010361,77822.30126,78308.73806,78507.72239,78717.34745,79169.20058,261149.1037,1499.248241,258364.3359,259981.1698,261167.1091,262139.9293,263828.9158,250500.5667,1808.797157,247412.5411,249111.7256,250526.6463,251664.6416,253972.3999,592340.5982,2789.266462,587741.8443,590288.6645,591929.6852,594181.2481,597934.7053,19647.85336,440.8989487,18696.97032,19325.7576,19707.43924,19969.43488,20340.91386,63563.60346,900.2465394,62115.3702,62923.06055,63544.66892,64175.48438,65205.33151,63830.1755,786.0666921,62284.90522,63349.06137,63763.9309,64419.72448,65156.88444
Crabs/Lobsters,6531081.12,28467.90807,6479934.344,6512842.481,6530736.991,6545620.163,6590915.207,179202.5669,5077.701027,170159.0537,175896.6058,178806.5767,181925.5804,189897.2356,630830.1424,7395.070728,619043.0252,625247.5118,630321.1086,635495.951,646179.3094,1200534.483,13213.0859,1174818.065,1192145.457,1198551.927,1208629.992,1228737.126,1306753.731,6526.772584,1294671.522,1302121.006,1306738.69,1311043.607,1319263.842,45584.39898,965.5914058,43781.7433,44943.62809,45601.20611,46175.96143,47556.59628,117479.4458,1448.37046,114573.4998,116667.6644,117649.5811,118338.3128,119881.5187,225699.2618,2883.72797,220720.9661,223700.8799,225548.2191,227593.0798,231920.1711,160454.9503,2373.824234,156387.4079,158823.2214,160305.3028,162238.2263,164988.1339,5288.404905,298.5778452,4802.567948,5067.983571,5287.479715,5485.18194,5857.035395,14674.81709,595.8031899,13605.63204,14336.29723,14613.5448,15115.09367,15815.34579,28182.83377,1309.307142,26056.62631,27367.6265,28083.0676,29066.53394,30856.58553
Flatfish,5813125.759,27284.30767,5763393.55,5795919.578,5809799.515,5831300.776,5874429.354,512509.3464,9949.359376,492468.9907,507221.7391,513034.2772,517470.2474,530580.1847,452751.7318,5583.073439,443113.6375,449406.8131,452501.3647,456288.4961,464138.2417,448226.3302,6050.440534,437525.825,444390.4537,447844.4573,452099.1802,461294.2335,1618059.73,5854.948167,1607667.149,1614398.946,1617450.374,1622141.01,1628614.695,143024.0715,2736.046809,137927.3083,141164.669,142952.8131,144900.2222,147802.2835,126338.4984,1205.063014,123759.4652,125767.3635,126456.3663,127138.8092,128493.0727,124758.1611,1523.30598,121838.9883,123719.6645,124805.9154,125826.2137,127550.9212,299796.0892,2242.181172,295233.7789,297910.9553,299827.966,301287.0352,304097.6261,26387.23475,962.729734,24844.3622,25716.42853,26357.18216,26914.36507,28461.30426,23562.20206,490.9853264,22676.74668,23263.32252,23556.34344,23845.16665,24532.56515,23266.99523,706.3542693,22057.46857,22765.95429,23331.95139,23803.42306,24604.27809
Bathydemersals,4138234.887,15148.60861,4108762.445,4129827.969,4138408.055,4146930.664,4169129.374,131364.2236,2543.753642,126631.7169,129663.3627,131514.5569,133316.8058,135248.5622,397506.9164,4963.726592,388765.4822,394138.2268,397038.707,401347.3251,406072.0766,283573.1146,3771.238147,276996.3511,280732.9402,283726.2633,286768.2116,289163.1061,1077817.745,3078.541171,1071981.495,1076047.822,1077458.148,1079955.843,1083495.812,34073.88532,490.8829401,33207.30651,33805.14825,34078.68437,34373.04714,34952.10321,101706.3118,909.3840138,100049.012,101118.9459,101754.2035,102290.7968,103532.2896,73732.59751,687.2977904,72250.97722,73296.60473,73775.93297,74204.77835,75004.84753,279069.5914,3438.674969,271970.7666,277048.9215,279011.1443,281326.1699,284735.5043,8889.639973,456.8927229,8098.9455,8557.627676,8930.17714,9168.444299,9782.112733,26758.55187,1028.333174,25013.88252,25935.11454,26736.53982,27413.76003,28869.23135,19000.68367,718.247462,17629.23548,18568.30776,18950.79057,19568.61034,20321.60915
Sharks,2301711.224,8897.520455,2284156.867,2295586.874,2303353.947,2307585.228,2318640.362,81325.31,1358.710759,78989.45348,80358.13704,81343.64355,82201.8401,84289.5841,210295.5903,2283.893966,206152.3135,208700.1748,210584.1327,212005.5704,214214.342,262753.7219,2641.651348,257204.3024,261331.4054,262780.4563,264162.0224,268151.434,590330.4563,2631.446601,586621.2374,588239.4699,590057.5506,592287.5822,595969.9591,20215.43019,403.4417134,19503.6611,19926.21531,20228.25122,20467.62529,20949.94256,54065.47896,690.936523,52871.37978,53500.88583,54073.60224,54622.60234,55220.21461,68896.66103,1066.779361,67104.13238,68186.82627,68989.79217,69453.32899,71145.08369,163293.6806,1459.052387,160639.2606,162475.4452,163140.5812,164116.0392,166327.5788,5786.444907,199.5610568,5436.546729,5622.50436,5801.252713,5922.948199,6136.333645,14987.2827,449.5143757,14120.32574,14704.60984,14990.59529,15256.64362,15840.05725,18595.04263,569.6050799,17644.2614,18207.10336,18544.14314,18897.77949,19689.96005
Krill,854406.1536,15111.65366,823494.6896,844533.0389,855181.9077,862723.1178,885381.7367,0,0,0,0,0,0,0,35596.64053,1555.278189,32775.50842,34413.66224,35671.04304,36672.59696,38580.84925,119288.822,5726.499169,109139.1409,115187.0163,118271.4392,123392.7317,129926.0168,141377.0394,57.61615449,141282.1755,141334.3634,141367.5863,141418.3215,141491.9812,0,0,0,0,0,0,0,5900.746401,8.386589532,5883.686724,5895.270592,5901.738396,5907.089043,5913.360495,19859.49208,27.9111825,19812.75085,19839.99611,19858.52394,19875.82064,19918.42707,20944.01323,627.1269322,19831.02976,20463.28259,20995.25644,21446.82525,22078.84114,0,0,0,0,0,0,0,866.7588708,68.88492974,756.3030469,815.8215526,863.1850569,908.9398205,1011.526038,2930.719336,281.3616481,2426.48857,2753.235848,2893.479335,3160.09954,3481.614154
Bathypelagic,730139.2239,5952.887392,719066.8111,725778.189,730124.1024,734953.3015,740458.4067,7556.135445,576.1012627,6235.655173,7185.377413,7548.073059,7985.060998,8527.064753,98622.42264,2533.375731,94304.13171,97387.77004,98668.42581,100275.0103,103367.4573,42768.93253,1156.455775,40523.20253,42127.29046,42745.98647,43370.63092,45109.43097,179122.8387,632.7854451,178041.2912,178619.889,179103.501,179546.9319,180327.2662,1833.129049,80.948658,1675.784562,1780.564699,1833.111512,1882.231898,1995.643472,24602.96518,173.895768,24298.18177,24491.47889,24616.24803,24723.59597,24950.0085,10553.2276,79.69791212,10401.87281,10496.47705,10555.49087,10610.17204,10713.32584,47095.83358,704.593554,45983.09596,46514.70576,47060.39623,47555.83689,48487.15716,499.104673,55.61332607,424.1074036,461.4460244,490.038531,533.7576498,631.9707446,6374.122595,237.7737074,5980.89493,6215.145158,6352.062341,6517.00875,6888.221616,2756.030931,121.6293751,2519.793111,2685.478668,2759.14154,2836.688506,2980.010091
Rays,668291.1523,2441.34226,664247.4876,666726.3756,668199.0276,669946.7247,673528.3121,34667.52453,477.8438947,33689.01612,34355.6932,34609.83504,35012.3763,35630.4156,72079.18729,855.0558028,70565.33222,71400.92841,72102.39121,72727.97264,73656.91596,53688.15832,961.6800618,52034.10557,53089.17322,53510.85605,54363.93034,55683.95415,158134.7798,740.6213715,156889.8593,157652.8829,157980.2319,158677.63,159542.8111,8236.818991,163.308204,7971.123662,8129.358408,8229.64255,8333.805036,8513.700943,17093.25418,256.766071,16615.0924,16898.62948,17078.0231,17262.83533,17595.19082,12679.5095,274.8837002,12169.29058,12494.36332,12669.28201,12884.99487,13126.62912,47901.82136,535.262548,46853.84559,47568.26423,47884.7207,48188.37319,49100.72915,2514.371505,99.46947958,2291.729766,2446.423373,2523.031291,2575.726102,2671.015771,5175.371052,188.0405589,4816.629033,5043.831818,5144.308365,5307.289076,5522.187281,3854.161126,173.5833998,3509.350545,3719.244894,3863.826268,3960.42009,4188.51582
Jellyfish,82655.65704,7622.678801,69583.17603,78072.11541,82585.61332,86106.49429,99465.50879,394.8594092,138.6495573,169.7566456,293.1177213,391.8992401,466.1030704,670.9976907,12662.51148,3543.451222,7354.542617,10198.19225,12198.75884,14816.02131,20313.69881,14231.52185,3289.913463,7926.722679,12000.32484,14214.32348,16193.87284,20782.94198,18210.64447,1693.218718,15443.28632,17001.00278,18285.27148,18984.43141,21389.59494,84.96033644,26.8896579,43.15216449,68.36183799,81.21687648,98.72019805,137.8946162,2870.334732,778.9856756,1680.23714,2357.921779,2788.801871,3255.818813,4501.508474,3087.435405,706.1518715,1990.653828,2588.708064,3003.02111,3341.892305,4841.543866,5784.340567,633.2052688,4682.359311,5352.411983,5710.997189,6220.557068,6995.827975,27.37473072,12.54917718,9.719011241,18.72614927,25.37346465,34.18164196,54.96982291,872.3194079,305.8642299,432.9028583,640.0039394,825.0715433,1079.64471,1528.434916,991.1137409,270.7235245,577.9966303,760.0473709,963.2607444,1176.783409,1509.970365
